nome.empresa,setores,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,(16.742),(2.157),3,1.724.272,TRUE
AES TIETE ENERGIA SA,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.578.462,62.014,336.955,1.489.623.772,TRUE
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,Utilidade Pública / Energia Elétrica / Energia Elétrica,202.191,6.437,7.300,862.287,TRUE
ALEF S.A.,Outros / Outros / Outros,142.604,(75.079),(73.738),3,FALSE
ALFA HOLDINGS S.A.,Financeiro / Intermediários Financeiros / Bancos,970.278,10.943,(445),20.917.946,TRUE
ALGAR TELECOM S/A,Telecomunicações / Telecomunicações / Telecomunicações,1.480.908,43.915,224.121,81.911.749,TRUE
ALIANSCE SHOPPING CENTERS S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,2.635.270,30.115,90.019,101.072.936,TRUE
ALPARGATAS S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados,2.499.637,43.478,117.853,198.398.386,TRUE
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Financeiro / Previdência e Seguros / Corretoras de Seguros,98.000,4.632,2.990,5.596.892,TRUE
ALTERE SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,61,15,25,36.218.984,TRUE
ALUPAR INVESTIMENTO S/A,Utilidade Pública / Energia Elétrica / Energia Elétrica,6.917.133,646.921,93.854,420.644.774,TRUE
AMBEV S.A.,Consumo não Cíclico / Bebidas / Cervejas e Refrigerantes,60.490.637,2.749.068,2.080.145,4.344.066.764,TRUE
AMPLA ENERGIA E SERVICOS S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,3.505.871,12.680,(126.797),442.934,TRUE
ANDRADE GUTIERREZ PARTICIPACOES S.A.,Financeiro / Holdings Diversificadas / Holdings Diversificadas,(306.201),(34.283),11.588,1.292.396.406,TRUE
ANIMA HOLDING S.A.,Consumo Cíclico / Diversos / Serviços Educacionais,703.368,38.124,42.259,40.044.039,TRUE
AREZZO INDÚSTRIA E COMÉRCIO S.A.,Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados,644.114,23.141,42.919,44.066.233,TRUE
ATACADÃO S.A.,Consumo não Cíclico / Comércio e Distribuição / Alimentos,14.558.000,505.000,(3.917.000),384.651.223,TRUE
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Outros / Outros / Outros,4.047,1.027,2.734,6.338.837,TRUE
AZEVEDO E TRAVASSOS S.A.,Bens Industriais / Construção e Engenharia / Construção Pesada,(101.375),(23.021),8.544,3.445.225,TRUE
AZUL S.A.,Bens Industriais / Transporte / Transporte Aéreo,(471.886),137.678,215.807,623.486.032,TRUE
B2W - COMPANHIA DIGITAL,Consumo Cíclico / Comércio / Produtos Diversos,3.379.922,(139.242),(465.626),168.133.608,TRUE
B3 S.A. - BRASIL. BOLSA. BALCÃO,Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos,25.289.954,606.117,569.098,2.047.569.597,TRUE
BAHEMA S.A.,Consumo Cíclico / Diversos / Serviços Educacionais,57.287,(1.935),(892),434.286,TRUE
BANCO INTER S.A.,Financeiro / Intermediários Financeiros / Bancos,948.084,12.076,55.713,285.057.750,TRUE
BANESTES S.A. - BCO EST ESPIRITO SANTO,Financeiro / Intermediários Financeiros / Bancos,1.523.492,63.366,919.801,13.309.811,TRUE
BARDELLA S.A. INDUSTRIAS MECANICAS,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,106.730,(95.862),(18.263),1.230.086,TRUE
BATTISTELLA ADM PARTICIPACOES S.A.,Financeiro / Holdings Diversificadas / Holdings Diversificadas,1.380,962,1.446,2.329.491,TRUE
BAUMER S.A.,Saúde / Equipamentos / Equipamentos,107.514,1.604,4.552,2.599.475,TRUE
BB SEGURIDADE PARTICIPAÇÕES S.A.,Financeiro / Previdência e Seguros / Seguradoras,7.792.055,1.013.758,204.714,671.601.167,TRUE
BBM LOGISTICA S.A.,Bens Industriais / Serviços / Serviços Diversos,102.037,2.549,6.339,0,TRUE
BCO ABC BRASIL S.A.,Financeiro / Intermediários Financeiros / Bancos,3.824.364,119.554,2.605.001,75.245.599,TRUE
BCO ALFA DE INVESTIMENTO S.A.,Financeiro / Intermediários Financeiros / Bancos,1.456.953,16.467,68.882,20.024.233,TRUE
BCO AMAZONIA S.A.,Financeiro / Intermediários Financeiros / Bancos,1.987.202,(8.730),413.285,1.071.910,TRUE
BCO BRADESCO S.A.,Financeiro / Intermediários Financeiros / Bancos,126.674.052,5.820.442,(13.268.092),5.013.073.404,TRUE
BCO BRASIL S.A.,Financeiro / Intermediários Financeiros / Bancos,94.521.969,3.917.522,33.546.468,1.332.879.313,TRUE
BCO BTG PACTUAL S.A.,Financeiro / Intermediários Financeiros / Bancos,19.394.620,618.845,8.712.557,582.260.781,TRUE
BCO ESTADO DE SERGIPE S.A. - BANESE,Financeiro / Intermediários Financeiros / Bancos,424.975,19.035,96.124,1.548.736,TRUE
BCO ESTADO DO PARA S.A.,Financeiro / Intermediários Financeiros / Bancos,1.283.503,66.211,277.846,2.083,TRUE
BCO ESTADO DO RIO GRANDE DO SUL S.A.,Financeiro / Intermediários Financeiros / Bancos,7.364.946,319.957,(43.428),206.997.365,TRUE
BCO INDUSVAL S.A.,Financeiro / Intermediários Financeiros / Bancos,108.177,(37.266),(302.555),4.587.338,TRUE
BCO MERCANTIL DE INVESTIMENTOS S.A.,Financeiro / Intermediários Financeiros / Bancos,118.931,(129),2.298,409.047,TRUE
BCO MERCANTIL DO BRASIL S.A.,Financeiro / Intermediários Financeiros / Bancos,820.955,28.048,104.996,25.266.184,TRUE
BCO NORDESTE DO BRASIL S.A.,Financeiro / Intermediários Financeiros / Bancos,4.498.732,286.439,1.667.610,604.527,TRUE
BCO PAN S.A.,Financeiro / Intermediários Financeiros / Bancos,4.154.081,96.107,310.783,189.372.134,TRUE
BCO PATAGONIA S.A.,Financeiro / Intermediários Financeiros / Bancos,2.165.557,236.366,(273.536),141.028.367,TRUE
BCO PINE S.A.,Financeiro / Intermediários Financeiros / Bancos,830.161,(40.746),(786.498),34.505.893,TRUE
BCO SANTANDER (BRASIL) S.A.,Financeiro / Intermediários Financeiros / Bancos,94.207.683,3.673.589,6.774.324,752.259.737,TRUE
BETA SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,816,3,9,10.995.705,TRUE
BETAPART PARTICIPACOES S.A.,Outros / Outros / Outros,953,(63),(44),3,TRUE
BICICLETAS MONARK S.A.,Consumo Cíclico / Viagens e Lazer / Bicicletas,189.150,434,(133),137.474,TRUE
