nome.empresa,setor.1,setor.2,setor.3,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,-16742e3,-2157e3,3e3,NA,TRUE
AES TIETE ENERGIA SA,Utilidade Pública,Energia Elétrica,Energia Elétrica,1578462e3,62014e3,336955e3,NA,TRUE
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,Utilidade Pública,Energia Elétrica,Energia Elétrica,202191e3,6437e3,73e5,862.287,TRUE
ALEF S.A.,Outros,Outros,Outros,142604,-75079,-73738,3,FALSE
ALFA HOLDINGS S.A.,Financeiro,Intermediários Financeiros,Bancos,970278e3,10943e3,-445e3,NA,TRUE
ALGAR TELECOM S/A,Telecomunicações,Telecomunicações,Telecomunicações,1480908e3,43915e3,224121e3,NA,TRUE
ALIANSCE SHOPPING CENTERS S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,263527e4,30115e3,90019e3,NA,TRUE
ALPARGATAS S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,2499637e3,43478e3,117853e3,NA,TRUE
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Financeiro,Previdência e Seguros,Corretoras de Seguros,98e6,4632e3,299e4,NA,TRUE
ALTERE SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,61e3,15e3,25e3,NA,TRUE
ALUPAR INVESTIMENTO S/A,Utilidade Pública,Energia Elétrica,Energia Elétrica,6917133e3,646921e3,93854e3,NA,TRUE
AMBEV S.A.,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,60490637e3,2749068e3,2080145e3,NA,TRUE
AMPLA ENERGIA E SERVICOS S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,3505871e3,1268e4,-126797e3,442.934,TRUE
ANDRADE GUTIERREZ PARTICIPACOES S.A.,Financeiro,Holdings Diversificadas,Holdings Diversificadas,-306201e3,-34283e3,11588e3,NA,TRUE
ANIMA HOLDING S.A.,Consumo Cíclico,Diversos,Serviços Educacionais,703368e3,38124e3,42259e3,NA,TRUE
AREZZO INDÚSTRIA E COMÉRCIO S.A.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,644114e3,23141e3,42919e3,NA,TRUE
ATACADÃO S.A.,Consumo não Cíclico,Comércio e Distribuição,Alimentos,14558e6,505e6,-3917e6,NA,TRUE
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Outros,Outros,Outros,4047e3,1027e3,2734e3,NA,TRUE
AZEVEDO E TRAVASSOS S.A.,Bens Industriais,Construção e Engenharia,Construção Pesada,-101375e3,-23021e3,8544e3,NA,TRUE
AZUL S.A.,Bens Industriais,Transporte,Transporte Aéreo,-471886e3,137678e3,215807e3,NA,TRUE
B2W - COMPANHIA DIGITAL,Consumo Cíclico,Comércio,Produtos Diversos,3379922e3,-139242e3,-465626e3,NA,TRUE
B3 S.A. - BRASIL. BOLSA. BALCÃO,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,25289954e3,606117e3,569098e3,NA,TRUE
BAHEMA S.A.,Consumo Cíclico,Diversos,Serviços Educacionais,57287e3,-1935e3,-892e3,434.286,TRUE
BANCO INTER S.A.,Financeiro,Intermediários Financeiros,Bancos,948084e3,12076e3,55713e3,NA,TRUE
BANESTES S.A. - BCO EST ESPIRITO SANTO,Financeiro,Intermediários Financeiros,Bancos,1523492e3,63366e3,919801e3,NA,TRUE
BARDELLA S.A. INDUSTRIAS MECANICAS,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,10673e4,-95862e3,-18263e3,NA,TRUE
BATTISTELLA ADM PARTICIPACOES S.A.,Financeiro,Holdings Diversificadas,Holdings Diversificadas,138e4,962e3,1446e3,NA,TRUE
BAUMER S.A.,Saúde,Equipamentos,Equipamentos,107514e3,1604e3,4552e3,NA,TRUE
BB SEGURIDADE PARTICIPAÇÕES S.A.,Financeiro,Previdência e Seguros,Seguradoras,7792055e3,1013758e3,204714e3,NA,TRUE
BBM LOGISTICA S.A.,Bens Industriais,Serviços,Serviços Diversos,102037e3,2549e3,6339e3,0,TRUE
BCO ABC BRASIL S.A.,Financeiro,Intermediários Financeiros,Bancos,3824364e3,119554e3,2605001e3,NA,TRUE
BCO ALFA DE INVESTIMENTO S.A.,Financeiro,Intermediários Financeiros,Bancos,1456953e3,16467e3,68882e3,NA,TRUE
BCO AMAZONIA S.A.,Financeiro,Intermediários Financeiros,Bancos,1987202e3,-873e4,413285e3,NA,TRUE
BCO BRADESCO S.A.,Financeiro,Intermediários Financeiros,Bancos,126674052e3,5820442e3,-13268092e3,NA,TRUE
BCO BRASIL S.A.,Financeiro,Intermediários Financeiros,Bancos,94521969e3,3917522e3,33546468e3,NA,TRUE
